Year,Quarter,MType,資料日期,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,權益─具證券性質之虛擬通貨,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值,現金及約當現金,存放央行及拆借銀行同業,透過損益按公允價值衡量之金融資產,透過其他綜合損益按公允價值衡量之金融資產,按攤銷後成本衡量之債務工具投資,避險之衍生金融資產淨額,附賣回票券及債券投資淨額,應收款項－淨額,當期所得稅資產,待出售資產－淨額,待分配予業主之資產－淨額,貼現及放款－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,不動產及設備－淨額,使用權資產－淨額,投資性不動產投資－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及銀行同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債－淨額,附買回票券及債券負債,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付金融債券,應付公司債,特別股負債,其他金融負債,負債準備,租賃負債,遞延所得稅負債,其他負債,負債總額,權益總額,權益－具證券性質之虛擬通貨,保留盈餘（或累積虧損）,歸屬於母公司業主權益合計,母公司暨子公司持有之母公司庫藏股股數（單位：股）
2025,4,otc,2026-03-02,8049,晶采,1312420,1406964,2719384,268500,67777,336277,1182798,,31471,780896,387942,0,2383107,,,0,2383107,0,0,0,20.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,otc,2026-03-02,8050,廣積,4548496,7372798,11921294,2328574,1611503,3940077,2052049,,2704348,2342363,359267,-243522,7214505,,,766712,7981217,,26856,6000000,36.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,otc,2026-03-02,8083,瑞穎,983853,731747,1715600,488040,1525,489565,351332,,215705,658998,0,,,,,,1226035,0,0,0,34.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,otc,2026-03-02,8096,擎亞,7896386,680944,8577330,5875967,35415,5911382,1493431,,804932,339781,27804,,2665948,,,0,2665948,0,0,0,17.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,otc,2026-03-02,8111,立碁,1497086,679207,2176293,812700,22625,835325,1091022,,6534,265252,-24509,0,1338299,0,,2669,1340968,0,0,0,12.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,otc,2026-03-02,8279,生展,1141183,1906907,3048090,519576,155317,674893,271009,,618356,1480295,3537,,2373197,,,,2373197,0,0,0,87.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,otc,2026-03-02,8291,尚茂,41472,196017,237489,147797,15763,163560,174784,,118,-100973,,,,,,,73929,,0,0,4.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,otc,2026-03-02,8928,鉅明,1940307,1693394,3633701,1907566,634961,2542527,508540,,164,603522,-21052,0,1091174,0,,0,1091174,0,0,0,21.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,sii,2026-03-02,1232,大統益,7157271.0,2819535.0,9976806.0,2657689.0,1196640.0,3854329.0,1599749,,23784,4284141.0,-3728,,5903946,,,218531,6122477.0,0,0,0.0,36.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,sii,2026-03-02,1236,宏亞,753408.0,2781730.0,3535138.0,554864.0,457387.0,1012251.0,866740,,34205,1398856.0,223086,,2522887,,,,2522887.0,,0,0.0,29.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
